comment,is_negative
Start workin on a Dyson sphere Elon lol🤙,0
"Elon is generally sketched out about AI in the near future. He got super spooked out in that topic and almost seemed like he was, in his own way,  begging for the stop of AI.",1
"""Why am I dragging this dead horse around? and I'M a horse... I don't like it""",1
Joe good job! You’re 2 different people yet you found a way to do a great interview. I had to watch in like 5 parts because I really wanted to hear and focus on everything Musk said 👌,0
Jorge Sampaoli has a podcast? haha its so similar with him kkkkkkk,0
Elon is here for a reason,0
Read the ingredients in mandates,0
You can tell that Elon’s intellect haunts him.,1
its way too much scary moment.. look at Elon' s eyes and  listen after 20:17 😶,1
I don't think Joe understood how impressive it was to get working sun tiles that doesn't show the cells inside when the sun reflects off it. Elon was so passionate about it lol,0
I want a Tesla now... fuck,1
Crazy how joe predicts the metaverse.,0
We talkin’ ‘bout ai bit none of y’all talking about corporate made super heroes like vought in The Boys,0
I highkey want a tesla now,0
We dug the pit. 5x,0
“We’re not fucked” -Elon Musk 2018,1
👌👌👌,0
Every time Elon says “yes” it sounds like a super villain plotting his plan.,1
"Put it this way, what would you do if you was a God…?",0
“A hole in the ground is better than no hole in the ground.” - Elon Musk,0
""" we want a pit """,0
"Elon, why you bet for Space X, if you believe so hard on AI?",0
I'm convinced  Elon musk  is really a future human . Or alien,0
Love how elon didnt inhale the weed lmao,0
"Joe… your not listening when he explained this is likely a simulation and seems very real. Your in the simulation now… not in the future, now. Wow when Elon starts speaking about pulling carbon out of the earth and polluting the atmosphere he’s speaking like he’s come from a place where he’s seen the devastation, I think he’s actually crying, he’s just holding back the eyes from dripping tears but he’s got so much emotion on this. 😮",0
"(Paraphrasing)""I'm so concerned about if I'm in a simulation or not""""Wanna check out my samurai sword? It's from the 1500s""""Oh really?""""Yeah, lemme grab it""",0
I love Elon Musk. Motherfucker is really an alien but I’m cool with that.,0
My grandparents live right next to the space x station in McGregor,0
Young Sheldon all grown up,0
WE ARE BORG. WE ARE ONE,0
The Ben Franklin of our time. Elon not Joe.,0
Can we get another Elon episode please!!!!!,0
Joe is no dummy by any means! That fact the can ask Elon questions and he actually has to think about them says a lot about Joe!,0
Elon’s boring tunnels would be a good bunker for homes,0
@Stewie Griffin. You hit the nail on the head. That’s what I’m hearing. It makes sense.,0
Elon's special shirt ^Wears it during important events,0
2:32:00 Elon musk broke robot character for one second,1
"His management of articulating rhetorical statements and answers,impeccable, a hands on Einstein",0
1:18:00 I died laughing... You need the lead up too but that is the punch line.,0
weird dude,1
Uncle the AI. It's in it's middle school years.,0
Tell me I'm not the only one that event to Wikipedia. Business magnet,0
"we are all chimps, but Elon is a space Chimp :D",0
