comment,is_negative
"At my age I would let him unite cognitive ability if there weren’t other people who wanted to take me apart or be afraid of what I become, there you have to have someone that’s basically good to start with not evil",0
...had everyone of us ..just taken that single TRUTH  to heart...(as children)...that everything WE CHOOSE to do ..or HOW we do it..will be ON OUR PERMENENT RECORD ...!,0
"On the privacy question/idea it's very important when you start connecting minds to the internet/other people.. This thought is a main idea in Ghost in the Shell original film.. Individuality and what makes you ""You"" are possibly lost when your mind/consciousness can travel outside of the body.. So having the ability to protect yourself would be very important..",0
I think he's just fn with our heads.,0
Lower Wacker in Chicago works,0
Still rough idea,0
Elon Musk is getting conned by the COMMUNISTS in Chyna ......silly bugger.,0
Joe: “How long until AI robots will be able to make up their own mind.”                                           Elon: “You know a company is.....”,0
elon is a great communicator and fast thinker about many subjects its so fkn crazy,0
"54:00 the world is tempting Elon to do mad evil stuff... Flamethrower, katana, laughing at death animals... lmao",1
plot twist: elon scared AI will break his simulation,1
"Elon Musk "" AI is allready out of control  and it may take over in no time if we allow it to.I've tried for years to convince people to slow down.""
Also Elon Musk "" We have something interesting to announce in a few months .Neurolink ... the human will merge with AI """,0
Elon has got to go.,1
bring ur bullshit loser,1
People that got upset that he smoked marijuana are clearly not smokers and don’t know about it because he clearly didn’t inhale it’s just haters that hate marijuana for no reason and don’t understand it it’s insane,0
Joe: who did you ask to build a nuke?Elon:.... I'm not sure what you mean..,1
Nojumper is the best interviewer,0
"Well if they ""just so happen"" to find my Tesla on auto pilot with 30lbs of weed in it on the interstate and nobody inside its cus someone stole my car.",0
Well Elon has gone up in my estimations after listening to that. I'm sure he is pleased. 🤦‍♂️,0
36:20,0
Joe: yah we’re weird thingElon: crunches ice,0
"First time I saw an interview with Elon. I loved it. I actually relate to him as a creative genius. Hundreds of ideas all the time. I would love to meet him some day. Thanks Joe, this was amazing.",0
They talk about some really cool stuff but I've got a questing for elon.. with us digging up the earth and moving mountains to different places do you think it f's with ate rotation and we may not know how we wobble or it puts us in danger more??,0
1:19:45 Is it me or was he close to tearing up?,0
My truck is a Extension of me not my phone,0
He breaks my heart lmao I want to be his friend y’all I don’t think homeboy has a lot of real friends like that,1
Just answer the fucking question elon,1
He is a reptilian bro,1
lol so he wasn't high in the beginning?!,0
IS ELON CHOMPING ON ICE?!,0
He is definitely on a another level than most people.,0
Elon musk is a prime example of experimental innovation and I love it,0
Being a chimp seems quite liberating,0
"Good ol' Joe ""Ever Thought of Magnets?"" Rogan.",0
